ts,device,co2,temp,rh,rssi
1770175475349,dev01,177,25,50,
1770175475393,dev01,178,25,50,
1770175475441,dev01,179,25,50,
1770175475482,dev01,180,25,50,
1770175475524,dev01,181,25,50,
1770175475565,dev01,182,25,50,
1770175475605,dev01,183,25,50,
1770175475650,dev01,184,25,50,
1770175475702,dev01,185,25,50,
1770175475768,dev01,186,25,50,
1770175475834,dev01,187,25,50,
1770175475891,dev01,188,25,50,
1770175475953,dev01,189,25,50,
1770175476007,dev01,190,25,50,
1770175476058,dev01,191,25,50,
1770175476099,dev01,192,25,50,
1770175476138,dev01,193,25,50,
1770175476181,dev01,194,25,50,
1770175476239,dev01,195,25,50,
1770175476305,dev01,196,25,50,
1770175476364,dev01,197,25,50,
1770175476423,dev01,198,25,50,
1770175476461,dev01,199,25,50,
1770175476497,dev01,200,25,50,
1770175476537,dev01,201,25,50,
1770175476577,dev01,202,25,50,
1770175476616,dev01,203,25,50,
1770175476659,dev01,204,25,50,
1770175476721,dev01,205,25,50,
1770175476787,dev01,206,25,50,
1770175476844,dev01,207,25,50,
1770175476899,dev01,208,25,50,
1770175476960,dev01,209,25,50,
1770175477008,dev01,210,25,50,
1770175477053,dev01,211,25,50,
1770175477091,dev01,212,25,50,
1770175477131,dev01,213,25,50,
1770175477177,dev01,214,25,50,
1770175477232,dev01,215,25,50,
1770175477281,dev01,216,25,50,
1770175477336,dev01,217,25,50,
1770175477388,dev01,218,25,50,
1770175477432,dev01,219,25,50,
1770175477470,dev01,220,25,50,
1770175477509,dev01,221,25,50,
1770175477549,dev01,222,25,50,
1770175477596,dev01,223,25,50,
1770175477647,dev01,224,25,50,
1770175477710,dev01,225,25,50,
1770175477773,dev01,226,25,50,
1770175477954,dev01,227,25,50,
1770175477983,dev01,228,25,50,
1770175478015,dev01,229,25,50,
1770175478095,dev01,230,25,50,
1770175478146,dev01,231,25,50,
1770175478223,dev01,232,25,50,
1770175478302,dev01,233,25,50,
1770175478354,dev01,234,25,50,
1770175478483,dev01,235,25,50,
1770175478593,dev01,236,25,50,
1770175478696,dev01,237,25,50,
1770175478757,dev01,238,25,50,
1770175478823,dev01,239,25,50,
1770175478883,dev01,240,25,50,
1770175478937,dev01,241,25,50,
1770175479099,dev01,242,25,50,
1770175479134,dev01,243,25,50,
1770175479168,dev01,244,25,50,
1770175479209,dev01,245,25,50,
1770175479253,dev01,246,25,50,
1770175479321,dev01,247,25,50,
1770175479377,dev01,248,25,50,
1770175479421,dev01,249,25,50,
1770175479477,dev01,250,25,50,
1770175479517,dev01,251,25,50,
1770175479559,dev01,252,25,50,
1770175479604,dev01,253,25,50,
1770175479653,dev01,254,25,50,
1770175479710,dev01,255,25,50,
1770175479770,dev01,256,25,50,
1770175479833,dev01,257,25,50,
1770175479897,dev01,258,25,50,
1770175479956,dev01,259,25,50,
1770175480007,dev01,260,25,50,
1770175480047,dev01,261,25,50,
1770175480088,dev01,262,25,50,
1770175480128,dev01,263,25,50,
1770175480174,dev01,264,25,50,
1770175480230,dev01,265,25,50,
1770175480290,dev01,266,25,50,
1770175480346,dev01,267,25,50,
1770175480402,dev01,268,25,50,
1770175480442,dev01,269,25,50,
1770175480487,dev01,270,25,50,
1770175480529,dev01,271,25,50,
1770175480570,dev01,272,25,50,
1770175480614,dev01,273,25,50,
1770175480661,dev01,274,25,50,
1770175480729,dev01,275,25,50,
1770175480803,dev01,276,25,50,
1770175480875,dev01,277,25,50,
1770175480938,dev01,278,25,50,
1770175480995,dev01,279,25,50,
1770175481045,dev01,280,25,50,
1770175481092,dev01,281,25,50,
1770175481132,dev01,282,25,50,
1770175481180,dev01,283,25,50,
1770175481243,dev01,284,25,50,
1770175481306,dev01,285,25,50,
1770175481361,dev01,286,25,50,
1770175481407,dev01,287,25,50,
1770175481450,dev01,288,25,50,
1770175481500,dev01,289,25,50,
1770175481539,dev01,290,25,50,
1770175481581,dev01,291,25,50,
1770175481625,dev01,292,25,50,
1770175481674,dev01,293,25,50,
1770175481736,dev01,294,25,50,
1770175481803,dev01,295,25,50,
1770175481870,dev01,296,25,50,
1770175481924,dev01,297,25,50,
1770175481980,dev01,298,25,50,
1770175482029,dev01,299,25,50,
1770175482070,dev01,300,25,50,
1770175482114,dev01,301,25,50,
1770175482159,dev01,302,25,50,
1770175482215,dev01,303,25,50,
1770175482275,dev01,304,25,50,
1770175482338,dev01,305,25,50,
1770175482390,dev01,306,25,50,
1770175482439,dev01,307,25,50,
1770175482482,dev01,308,25,50,
1770175482525,dev01,309,25,50,
1770175482564,dev01,310,25,50,
1770175482605,dev01,311,25,50,
1770175482657,dev01,312,25,50,
1770175482711,dev01,313,25,50,
1770175482776,dev01,314,25,50,
1770175482839,dev01,315,25,50,
1770175483000,dev01,316,25,50,
1770175483029,dev01,317,25,50,
1770175483066,dev01,318,25,50,
1770175483097,dev01,319,25,50,
1770175483133,dev01,320,25,50,
1770175483176,dev01,321,25,50,
1770175483237,dev01,322,25,50,
1770175483302,dev01,323,25,50,
1770175483362,dev01,324,25,50,
1770175483414,dev01,325,25,50,
1770175483467,dev01,326,25,50,
1770175483503,dev01,327,25,50,
1770175483544,dev01,328,25,50,
1770175483589,dev01,329,25,50,
1770175483628,dev01,330,25,50,
1770175483687,dev01,331,25,50,
1770175483750,dev01,332,25,50,
1770175483823,dev01,333,25,50,
1770175483885,dev01,334,25,50,
1770175484048,dev01,335,25,50,
1770175484082,dev01,336,25,50,
1770175484111,dev01,337,25,50,
1770175484141,dev01,338,25,50,
1770175484176,dev01,339,25,50,
1770175484223,dev01,340,25,50,
1770175484286,dev01,341,25,50,
1770175484334,dev01,342,25,50,
1770175484377,dev01,343,25,50,
1770175484426,dev01,344,25,50,
1770175484474,dev01,345,25,50,
1770175484524,dev01,346,25,50,
1770175484567,dev01,347,25,50,
1770175484607,dev01,348,25,50,
1770175484645,dev01,349,25,50,
1770175484709,dev01,350,25,50,
1770175484769,dev01,351,25,50,
1770175484854,dev01,352,25,50,
1770175484934,dev01,353,25,50,
1770175485007,dev01,354,25,50,
1770175485085,dev01,355,25,50,
1770175485157,dev01,356,25,50,
1770175485235,dev01,357,25,50,
1770175485309,dev01,358,25,50,
1770175485390,dev01,359,25,50,
1770175485443,dev01,360,25,50,
1770175485493,dev01,361,25,50,
1770175485546,dev01,362,25,50,
1770175485596,dev01,363,25,50,
1770175485643,dev01,364,25,50,
1770175485692,dev01,365,25,50,
1770175485752,dev01,366,25,50,
1770175485826,dev01,367,25,50,
1770175485889,dev01,368,25,50,
1770175485960,dev01,369,25,50,
1770175486025,dev01,370,25,50,
1770175486075,dev01,371,25,50,
1770175486123,dev01,372,25,50,
1770175486166,dev01,373,25,50,
1770175486210,dev01,374,25,50,
1770175486271,dev01,375,25,50,
1770175486333,dev01,376,25,50,
1770175486387,dev01,377,25,50,
1770175486433,dev01,378,25,50,
1770175486479,dev01,379,25,50,
1770175486522,dev01,380,25,50,
1770175486564,dev01,381,25,50,
1770175486613,dev01,382,25,50,
1770175486654,dev01,383,25,50,
1770175486701,dev01,384,25,50,
1770175486758,dev01,385,25,50,
1770175486827,dev01,386,25,50,
1770175486896,dev01,387,25,50,
1770175486958,dev01,388,25,50,
1770175487022,dev01,389,25,50,
1770175487078,dev01,390,25,50,
1770175487112,dev01,391,25,50,
1770175487150,dev01,392,25,50,
1770175487191,dev01,393,25,50,
1770175487233,dev01,394,25,50,
1770175487297,dev01,395,25,50,
1770175487343,dev01,396,25,50,
1770175487391,dev01,397,25,50,
1770175487438,dev01,398,25,50,
1770175487480,dev01,399,25,50,
1770175487523,dev01,400,25,50,
1770175487566,dev01,401,25,50,
1770175487603,dev01,402,25,50,
1770175487642,dev01,403,25,50,
1770175487681,dev01,404,25,50,
1770175487727,dev01,405,25,50,
1770175487789,dev01,406,25,50,
1770175487851,dev01,407,25,50,
1770175488024,dev01,408,25,50,
1770175488057,dev01,409,25,50,
1770175488093,dev01,410,25,50,
1770175488133,dev01,411,25,50,
1770175488174,dev01,412,25,50,
1770175488222,dev01,413,25,50,
1770175488285,dev01,414,25,50,
1770175488350,dev01,415,25,50,
1770175488412,dev01,416,25,50,
1770175488458,dev01,417,25,50,
1770175488510,dev01,418,25,50,
1770175488555,dev01,419,25,50,
1770175488595,dev01,420,25,50,
1770175488749,dev01,421,25,50,
1770175488790,dev01,422,25,50,
1770175488845,dev01,423,25,50,
1770175488894,dev01,424,25,50,
1770175488943,dev01,425,25,50,
1770175488995,dev01,426,25,50,
1770175489039,dev01,427,25,50,
1770175489184,dev01,428,25,50,
1770175489228,dev01,429,25,50,
1770175489276,dev01,430,25,50,
1770175489329,dev01,431,25,50,
1770175489376,dev01,432,25,50,
1770175489427,dev01,433,25,50,
1770175489467,dev01,434,25,50,
1770175489507,dev01,435,25,50,
1770175489550,dev01,436,25,50,
1770175489693,dev01,437,25,50,
1770175489738,dev01,438,25,50,
1770175489802,dev01,439,25,50,
1770175489870,dev01,440,25,50,
1770175489933,dev01,441,25,50,
1770175489996,dev01,442,25,50,
1770175490049,dev01,443,25,50,
1770175490091,dev01,444,25,50,
1770175490130,dev01,445,25,50,
1770175490167,dev01,446,25,50,
1770175490206,dev01,447,25,50,
1770175490243,dev01,448,25,50,
1770175490286,dev01,449,25,50,
1770175490343,dev01,450,25,50,
1770175490398,dev01,451,25,50,
1770175490451,dev01,452,25,50,
1770175490496,dev01,453,25,50,
1770175490540,dev01,454,25,50,
1770175490587,dev01,455,25,50,
1770175490624,dev01,456,25,50,
1770175490660,dev01,457,25,50,
1770175490702,dev01,458,25,50,
1770175490754,dev01,459,25,50,
1770175490814,dev01,460,25,50,
1770175490876,dev01,461,25,50,
1770175490930,dev01,462,25,50,
1770175490989,dev01,463,25,50,
1770175491036,dev01,464,25,50,
1770175491084,dev01,465,25,50,
1770175491126,dev01,466,25,50,
1770175491168,dev01,467,25,50,
1770175491224,dev01,468,25,50,
1770175491281,dev01,469,25,50,
1770175491343,dev01,470,25,50,
1770175491393,dev01,471,25,50,
1770175491447,dev01,472,25,50,
1770175491492,dev01,473,25,50,
1770175491533,dev01,474,25,50,
1770175491572,dev01,475,25,50,
1770175491613,dev01,476,25,50,
1770175491669,dev01,477,25,50,
1770175491702,dev01,478,25,50,
1770175491746,dev01,479,25,50,
1770175491801,dev01,480,25,50,
1770175491883,dev01,481,25,50,
1770175491938,dev01,482,25,50,
1770175491988,dev01,483,25,50,
1770175492039,dev01,484,25,50,
1770175492087,dev01,485,25,50,
1770175492132,dev01,486,25,50,
1770175492174,dev01,487,25,50,
1770175492326,dev01,488,25,50,
1770175492373,dev01,489,25,50,
1770175492415,dev01,490,25,50,
1770175492554,dev01,491,25,50,
1770175492590,dev01,492,25,50,
1770175492620,dev01,493,25,50,
1770175492652,dev01,494,25,50,
1770175492685,dev01,495,25,50,
1770175492841,dev01,496,25,50,
1770175492892,dev01,497,25,50,
1770175492929,dev01,498,25,50,
1770175492968,dev01,499,25,50,
1770175493009,dev01,500,25,50,
1770175493047,dev01,501,25,50,
1770175493084,dev01,502,25,50,
1770175493119,dev01,503,25,50,
1770175493157,dev01,504,25,50,
1770175493195,dev01,505,25,50,
1770175493235,dev01,506,25,50,
1770175493289,dev01,507,25,50,
1770175493355,dev01,508,25,50,
1770175493409,dev01,509,25,50,
1770175493457,dev01,510,25,50,
1770175493498,dev01,511,25,50,
1770175493545,dev01,512,25,50,
1770175493592,dev01,513,25,50,
1770175493626,dev01,514,25,50,
1770175493656,dev01,515,25,50,
1770175493694,dev01,516,25,50,
1770175493736,dev01,517,25,50,
1770175493804,dev01,518,25,50,
1770175493878,dev01,519,25,50,
1770175493952,dev01,520,25,50,
1770175494014,dev01,521,25,50,
1770175494063,dev01,522,25,50,
1770175494104,dev01,523,25,50,
1770175494144,dev01,524,25,50,
1770175494185,dev01,525,25,50,
1770175494231,dev01,526,25,50,
1770175494393,dev01,527,25,50,
1770175494433,dev01,528,25,50,
1770175494464,dev01,529,25,50,
1770175494495,dev01,530,25,50,
1770175494525,dev01,531,25,50,
1770175494555,dev01,532,25,50,
1770175494590,dev01,533,25,50,
1770175494623,dev01,534,25,50,
1770175494661,dev01,535,25,50,
1770175494812,dev01,536,25,50,
1770175494854,dev01,537,25,50,
1770175494905,dev01,538,25,50,
1770175494955,dev01,539,25,50,
1770175495005,dev01,540,25,50,
1770175495045,dev01,541,25,50,
1770175495087,dev01,542,25,50,
1770175495245,dev01,543,25,50,
1770175495302,dev01,544,25,50,
1770175495367,dev01,545,25,50,
1770175495407,dev01,546,25,50,
1770175495449,dev01,547,25,50,
1770175495490,dev01,548,25,50,
1770175495529,dev01,549,25,50,
1770175495569,dev01,550,25,50,
1770175495611,dev01,551,25,50,
1770175495649,dev01,552,25,50,
1770175495690,dev01,553,25,50,
1770175495734,dev01,554,25,50,
1770175495790,dev01,555,25,50,
1770175495846,dev01,556,25,50,
1770175495913,dev01,557,25,50,
1770175495977,dev01,558,25,50,
1770175496041,dev01,559,25,50,
1770175496100,dev01,560,25,50,
1770175496146,dev01,561,25,50,
1770175496194,dev01,562,25,50,
1770175496241,dev01,563,25,50,
1770175496300,dev01,564,25,50,
1770175496364,dev01,565,25,50,
1770175496424,dev01,566,25,50,
1770175496472,dev01,567,25,50,
1770175496512,dev01,568,25,50,
1770175496551,dev01,569,25,50,
1770175496595,dev01,570,25,50,
1770175496636,dev01,571,25,50,
1770175496671,dev01,572,25,50,
1770175496710,dev01,573,25,50,
1770175496746,dev01,574,25,50,
1770175496806,dev01,575,25,50,
1770175496872,dev01,576,25,50,
1770175496934,dev01,577,25,50,
1770175496999,dev01,578,25,50,
1770175497048,dev01,579,25,50,
1770175497208,dev01,580,25,50,
1770175497254,dev01,581,25,50,
1770175497285,dev01,582,25,50,
1770175497322,dev01,583,25,50,
1770175497364,dev01,584,25,50,
1770175497410,dev01,585,25,50,
1770175497450,dev01,586,25,50,
1770175497496,dev01,587,25,50,
1770175497537,dev01,588,25,50,
1770175497575,dev01,589,25,50,
1770175497609,dev01,590,25,50,
1770175497645,dev01,591,25,50,
1770175497687,dev01,592,25,50,
1770175497721,dev01,593,25,50,
1770175497759,dev01,594,25,50,
1770175497814,dev01,595,25,50,
1770175497878,dev01,596,25,50,
1770175497936,dev01,597,25,50,
1770175497995,dev01,598,25,50,
1770175498062,dev01,599,25,50,
1770175498120,dev01,600,25,50,
1770175498165,dev01,601,25,50,
1770175498205,dev01,602,25,50,
1770175498253,dev01,603,25,50,
1770175498320,dev01,604,25,50,
1770175498380,dev01,605,25,50,
1770175498438,dev01,606,25,50,
1770175498490,dev01,607,25,50,
1770175498534,dev01,608,25,50,
1770175498573,dev01,609,25,50,
1770175498615,dev01,610,25,50,
1770175498655,dev01,611,25,50,
1770175498695,dev01,612,25,50,
1770175498757,dev01,613,25,50,
1770175498824,dev01,614,25,50,
1770175498890,dev01,615,25,50,
1770175498946,dev01,616,25,50,
1770175499006,dev01,617,25,50,
1770175499055,dev01,618,25,50,
1770175499103,dev01,619,25,50,
1770175499144,dev01,620,25,50,
1770175499185,dev01,621,25,50,
1770175499232,dev01,622,25,50,
1770175499290,dev01,623,25,50,
1770175499346,dev01,624,25,50,
1770175499391,dev01,625,25,50,
1770175499438,dev01,626,25,50,
1770175499483,dev01,627,25,50,
1770175499519,dev01,628,25,50,
1770175499560,dev01,629,25,50,
1770175499601,dev01,630,25,50,
1770175499642,dev01,631,25,50,
1770175499684,dev01,632,25,50,
1770175499737,dev01,633,25,50,
1770175499806,dev01,634,25,50,
1770175499880,dev01,635,25,50,
1770175499938,dev01,636,25,50,
1770175499997,dev01,637,25,50,
1770175500059,dev01,638,25,50,
1770175500108,dev01,639,25,50,
1770175500148,dev01,640,25,50,
1770175500190,dev01,641,25,50,
1770175500231,dev01,642,25,50,
1770175500291,dev01,643,25,50,
1770175500340,dev01,644,25,50,
1770175500397,dev01,645,25,50,
1770175500452,dev01,646,25,50,
1770175500496,dev01,647,25,50,
1770175500536,dev01,648,25,50,
1770175500583,dev01,649,25,50,
1770175500615,dev01,650,25,50,
1770175500651,dev01,651,25,50,
1770175500689,dev01,652,25,50,
1770175500734,dev01,653,25,50,
1770175500793,dev01,654,25,50,
1770175500863,dev01,655,25,50,
1770175500925,dev01,656,25,50,
1770175500985,dev01,657,25,50,
1770175501047,dev01,658,25,50,
1770175501215,dev01,659,25,50,
1770175501264,dev01,660,25,50,
1770175501327,dev01,661,25,50,
1770175501381,dev01,662,25,50,
1770175501424,dev01,663,25,50,
1770175501468,dev01,664,25,50,
1770175501511,dev01,665,25,50,
1770175501551,dev01,666,25,50,
1770175501593,dev01,667,25,50,
1770175501629,dev01,668,25,50,
1770175501673,dev01,669,25,50,
1770175501714,dev01,670,25,50,
1770175501760,dev01,671,25,50,
1770175501824,dev01,672,25,50,
1770175501897,dev01,673,25,50,
1770175501958,dev01,674,25,50,
1770175502018,dev01,675,25,50,
1770175502185,dev01,676,25,50,
1770175502227,dev01,677,25,50,
1770175502271,dev01,678,25,50,
1770175502328,dev01,679,25,50,
1770175502381,dev01,680,25,50,
1770175502426,dev01,681,25,50,
1770175502467,dev01,682,25,50,
1770175502505,dev01,683,25,50,
1770175502547,dev01,684,25,50,
1770175502583,dev01,685,25,50,
1770175502620,dev01,686,25,50,
1770175502654,dev01,687,25,50,
1770175502692,dev01,688,25,50,
1770175502737,dev01,689,25,50,
1770175502793,dev01,690,25,50,
1770175502860,dev01,691,25,50,
1770175502922,dev01,692,25,50,
1770175502971,dev01,693,25,50,
1770175503028,dev01,694,25,50,
1770175503073,dev01,695,25,50,
1770175503112,dev01,696,25,50,
1770175503155,dev01,697,25,50,
1770175503195,dev01,698,25,50,
1770175503241,dev01,699,25,50,
1770175503309,dev01,700,25,50,
1770175503376,dev01,701,25,50,
1770175503432,dev01,702,25,50,
1770175503483,dev01,703,25,50,
1770175503532,dev01,704,25,50,
1770175503574,dev01,705,25,50,
1770175503609,dev01,706,25,50,
1770175503643,dev01,707,25,50,
1770175503678,dev01,708,25,50,
1770175503719,dev01,709,25,50,
1770175503776,dev01,710,25,50,
1770175503850,dev01,711,25,50,
1770175503913,dev01,712,25,50,
1770175503977,dev01,713,25,50,
1770175504035,dev01,714,25,50,
1770175504081,dev01,715,25,50,
1770175504120,dev01,716,25,50,
1770175504164,dev01,717,25,50,
1770175504206,dev01,718,25,50,
1770175504254,dev01,719,25,50,
1770175504421,dev01,720,25,50,
1770175504457,dev01,721,25,50,
1770175504501,dev01,722,25,50,
1770175504543,dev01,723,25,50,
1770175504574,dev01,724,25,50,
1770175504611,dev01,725,25,50,
1770175504645,dev01,726,25,50,
1770175504685,dev01,727,25,50,
1770175504729,dev01,728,25,50,
1770175504786,dev01,729,25,50,
1770175504853,dev01,730,25,50,
1770175504916,dev01,731,25,50,
1770175504976,dev01,732,25,50,
1770175505027,dev01,733,25,50,
1770175505070,dev01,734,25,50,
1770175505110,dev01,735,25,50,
1770175505148,dev01,736,25,50,
1770175505191,dev01,737,25,50,
1770175505234,dev01,738,25,50,
1770175505280,dev01,739,25,50,
1770175505343,dev01,740,25,50,
1770175505402,dev01,741,25,50,
1770175505449,dev01,742,25,50,
1770175505491,dev01,743,25,50,
1770175505539,dev01,744,25,50,
1770175505578,dev01,745,25,50,
1770175505618,dev01,746,25,50,
1770175505758,dev01,747,25,50,
1770175505809,dev01,748,25,50,
1770175505867,dev01,749,25,50,
1770175505923,dev01,750,25,50,
1770175505982,dev01,751,25,50,
1770175506033,dev01,752,25,50,
1770175506076,dev01,753,25,50,
1770175506115,dev01,754,25,50,
1770175506156,dev01,755,25,50,
1770175506197,dev01,756,25,50,
1770175506240,dev01,757,25,50,
1770175506298,dev01,758,25,50,
1770175506352,dev01,759,25,50,
1770175506402,dev01,760,25,50,
1770175506442,dev01,761,25,50,
1770175506487,dev01,762,25,50,
1770175506529,dev01,763,25,50,
1770175506571,dev01,764,25,50,
1770175506612,dev01,765,25,50,
1770175506653,dev01,766,25,50,
1770175506688,dev01,767,25,50,
1770175506830,dev01,768,25,50,
1770175506870,dev01,769,25,50,
1770175506909,dev01,770,25,50,
1770175506962,dev01,771,25,50,
1770175507011,dev01,772,25,50,
1770175507054,dev01,773,25,50,
1770175507097,dev01,774,25,50,
1770175507139,dev01,775,25,50,
1770175507182,dev01,776,25,50,
1770175507221,dev01,777,25,50,
1770175507267,dev01,778,25,50,
1770175507325,dev01,779,25,50,
1770175507381,dev01,780,25,50,
1770175507430,dev01,781,25,50,
1770175507477,dev01,782,25,50,
1770175507518,dev01,783,25,50,
1770175507567,dev01,784,25,50,
1770175507618,dev01,785,25,50,
1770175507662,dev01,786,25,50,
1770175507702,dev01,787,25,50,
1770175507754,dev01,788,25,50,
1770175507825,dev01,789,25,50,
1770175507994,dev01,790,25,50,
1770175508036,dev01,791,25,50,
1770175508076,dev01,792,25,50,
1770175508119,dev01,793,25,50,
1770175508158,dev01,794,25,50,
1770175508196,dev01,795,25,50,
1770175508242,dev01,796,25,50,
1770175508298,dev01,797,25,50,
1770175508360,dev01,798,25,50,
1770175508413,dev01,799,25,50,
1770175508460,dev01,800,25,50,
1770175508501,dev01,801,25,50,
1770175508553,dev01,802,25,50,
1770175508597,dev01,803,25,50,
